SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_ID,fantasy_points
22023,2544,22300565,"Jan 15, 2024",LAL vs. OKC,W,39,12,20,0.6,1,2,0.5,0,1,0.0,0,7,7,6,0,0,5,1,25,2,1,2544,37.75
22023,2544,22300531,"Jan 11, 2024",LAL vs. PHX,L,24,3,11,0.273,0,4,0.0,4,7,0.571,0,5,5,9,1,0,4,1,10,-25,1,2544,27.75
22023,2544,22300516,"Jan 09, 2024",LAL vs. TOR,W,35,8,17,0.471,2,5,0.4,4,6,0.667,0,5,5,12,1,1,3,0,22,0,1,2544,48.25
22023,2544,22300505,"Jan 07, 2024",LAL vs. LAC,W,38,11,19,0.579,1,3,0.333,2,3,0.667,1,7,8,7,1,0,4,2,25,5,1,2544,43.5
22023,2544,22300491,"Jan 05, 2024",LAL vs. MEM,L,39,11,24,0.458,4,9,0.444,6,10,0.6,2,3,5,7,5,0,4,0,32,-8,1,2544,54.75
22023,2544,22300475,"Jan 03, 2024",LAL vs. MIA,L,38,6,18,0.333,0,6,0.0,0,0,0.0,0,6,6,9,0,0,2,2,12,-20,1,2544,31.0
22023,2544,22300446,"Dec 31, 2023",LAL @ NOP,L,37,12,24,0.5,3,7,0.429,7,8,0.875,0,5,5,8,0,1,4,2,34,-11,1,2544,51.25
22023,2544,22300443,"Dec 30, 2023",LAL @ MIN,L,39,10,21,0.476,1,4,0.25,5,7,0.714,0,3,3,6,3,1,1,2,26,-5,1,2544,46.75
22023,2544,22300428,"Dec 28, 2023",LAL vs. CHA,W,25,7,13,0.538,2,5,0.4,1,1,1.0,0,4,4,11,0,0,3,0,17,1,1,2544,35.5
22023,2544,22300403,"Dec 25, 2023",LAL vs. BOS,L,37,5,14,0.357,1,2,0.5,5,6,0.833,0,9,9,8,0,0,3,1,16,-11,1,2544,36.25
